feature,coef,abs_coef
el_annual_adj,2.092809422188151e-07,2.092809422188151e-07
severity_avg,-1.0961313159891434e-07,1.0961313159891434e-07
total_loss_last_3y,-2.626592036971056e-08,2.626592036971056e-08
events_last_3y,-2.3301135681416127e-11,2.3301135681416127e-11
risk_type_Reputacional,-9.391033691726533e-12,9.391033691726533e-12
controls_level_Bajo,-9.302497577091233e-12,9.302497577091233e-12
freq_annual_adj,-8.18687639020091e-12,8.18687639020091e-12
risk_type_Cumplimiento,4.596094077898731e-12,4.596094077898731e-12
controls_level_Medio,3.963941889159747e-12,3.963941889159747e-12
process_Onboarding,-3.671014550378359e-12,3.671014550378359e-12
process_Credito,-3.424283850456458e-12,3.424283850456458e-12
risk_type_Operativo,-2.9655095099428136e-12,2.9655095099428136e-12
controls_level_Alto,-2.421893435839123e-12,2.421893435839123e-12
process_Reclamaciones,-4.95464831246695e-13,4.95464831246695e-13
process_Pagos,-1.6968589168909332e-13,1.6968589168909332e-13
